angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.034769,J031246.58-011146.4,48.1940925,-1.1962251,0.0500,0.0482,66.3,3.719,3.491,3.690,3.647,4.174,3.768,3.748,0.515,0.221,0.015,0.021,0.280,0.238,0.236,484001601351041016,0000,1,1100,CBAA,491,35,800,35,2.182,48.1940833,-1.1962222,94 Cet,,03 12 46.58,-01 11 46.4,F8.5V,6140,1.72,40,94.6,,,0.04,22.57,,N,TYC,WISEA,Simbad
0.084338,J031550.03-084910.1,48.9584975,-8.8194955,0.0820,0.0531,88.2,4.149,3.869,4.135,4.102,4.419,4.255,4.225,0.318,0.216,0.022,0.024,0.250,0.220,0.020,490009101351044158,HHH0,0,nnn0,BBAA,550,36,592,35,0.863,48.9585,-8.8194722,zet Eri,,03 15 50.04,-08 49 10.1,A9V,7490,1.9,70,50.7,,,0.41,33.64,,Y,TYC,WISEA,Simbad
0.113371,J031849.94+552015.1,49.7080878,+55.3375314,0.0354,0.0337,179.2,8.527,8.553,8.343,7.123,8.925,8.594,8.602,0.023,0.021,0.021,0.099,0.020,0.027,0.019,506156001351010137,0h00,0,0000,AAAA,35,34,43,32,0.460,49.7080833,55.3375,TYC3706-340-1,,03 18 49.94,+55 20 15.0,:G6,5590,0.85,185,1.8,,,7.87,97.4,a,N,TYC,WISEA,Simbad
0.242257,J031942.88+364101.3,49.9286797,+36.6837177,0.0360,0.0330,22.8,8.483,8.482,8.240,6.955,8.965,8.642,8.568,0.024,0.019,0.024,0.094,0.030,0.021,0.018,503136301351036503,HH00,0,nn11,AAAA,26,37,49,35,0.379,49.928625,36.6836667,HD 278507,,03 19 42.87,+36 41 01.2,:G6,5570,0.85,195,1.6,,,10.14,96.76,a,N,TYC,WISEA,Simbad
0.272976,J032926.25+481211.3,52.3594097,+48.2031660,0.0357,0.0328,179.0,8.462,8.494,8.445,8.001,8.816,8.533,8.528,0.023,0.020,0.025,0.209,0.023,0.047,0.020,517148401351019718,0000,0,000n,AAAB,27,38,-5,36,0.372,52.3593333,48.2032222,BD+47 837,,03 29 26.24,+48 12 11.6,F9V,5920,0.97,220,1.6,,,1.76,109.64,a,Y,TYC,WISEA,Simbad
0.038012,J033153.68-253651.1,52.9736985,-25.6142002,0.0355,0.0344,23.4,6.097,6.045,6.115,5.372,6.159,6.115,6.100,0.100,0.039,0.015,0.034,0.021,0.027,0.023,533025801351034766,hh00,0,1110,AAAA,41,26,15,25,0.570,52.9737083,-25.6141944,HD 21997,,03 31 53.69,-25 36 51.1,A3IV/V,8220,1.64,65,61.2,,,5.41,71.94,,N,TYC,WISEA,Simbad
0.075814,J033529.93+311336.9,53.8747417,+31.2269365,0.0338,0.0327,163.5,7.330,7.368,7.362,6.903,7.791,7.489,7.425,0.035,0.021,0.018,0.099,0.018,0.021,0.023,547131801351004984,0000,0,1100,AAAA,126,40,-107,40,0.718,53.87475,31.2269167,HD 22179,,03 35 29.94,+31 13 36.9,G5IV,5920,1.01,70,16.8,,,2.88,68.0,a,Y,TYC,WISEA,Simbad
0.227076,J034025.95+334228.3,55.1081375,+33.7078638,0.0394,0.0385,35.1,5.736,5.674,5.672,5.099,6.539,5.940,5.769,0.153,0.048,0.014,0.034,0.029,0.046,0.029,557133301351027459,0000,1,0310,BAAA,-314,45,564,43,1.333,55.1081667,33.7078056,TYC2359-1127-1,,03 40 25.96,+33 42 28.1,:K6,4350,0.62,75,4.8,60,22.893,46.63,16.94,a,N,TYC,WISEA,Simbad
0.371779,J034333.84-102908.6,55.8910078,-10.4857300,0.0449,0.0430,139.4,5.107,4.970,5.084,4.662,5.208,5.166,5.077,0.141,0.068,0.014,0.030,0.024,0.061,0.020,553010701351024612,0000,0,1200,BAAA,538,50,-68,46,0.303,55.8909583,-10.4856389,HD 23281,,03 43 33.83,-10 29 08.3,A5III-IV,7660,1.59,160,8.4,,,0.54,42.42,,N,TYC,WISEA,Simbad
0.023433,J034343.25+242227.9,55.9302440,+24.3744409,0.0321,0.0311,9.0,7.515,7.544,7.140,5.802,7.692,7.610,7.561,0.031,0.020,0.017,0.049,0.039,0.055,0.018,561124201351019484,0000,1,1000,AAAA,-42,38,35,36,0.409,55.93025,24.3744444,TYC1799-73-1,,03 43 43.26,+24 22 28.0,A7V,7250,1.48,205,4.3,,,5.18,119.09,a,N,TYC,WISEA,Simbad
0.078822,J034355.58-190637.3,55.9816037,-19.1103714,0.0490,0.0461,90.0,4.856,4.544,4.847,4.824,,,,0.198,0.109,0.014,0.028,,,,560019701351057128,0000,1,0100,BAAA,-155,40,2952,36,,55.9815833,-19.1103611,HD 23356,,03 43 55.58,-19 06 37.3,K2V,5210,0.7,45,22.0,,,0.08,13.94,,N,TYC,WISEA,Simbad
0.067661,J034409.36-381651.4,56.0390009,-38.2809632,0.0462,0.0445,98.3,4.929,4.769,4.945,4.866,,,,0.221,0.097,0.015,0.026,,,,568037901351013146,0000,0,0100,BAAA,344,28,322,29,,56.039,-38.2809444,HD 23484,,03 44 09.36,-38 16 51.4,K2V,5400,0.76,60,14.4,,,1.03,16.02,,Y,TYC,WISEA,Simbad
0.087636,J034456.41+242556.8,56.2350430,+24.4324687,0.0360,0.0343,9.0,8.805,8.828,8.509,7.614,9.218,8.945,8.866,0.024,0.019,0.037,0.173,0.027,0.030,0.019,561124201351026120,0000,0,110n,AAAB,0,36,0,35,0.584,56.2350417,24.4324444,TYC1803-808-1,,03 44 56.41,+24 25 56.8,:G2,5910,0.75,420,0.3,100,6.1,6.33,100.0,a,Y,TYC,WISEA,Simbad
0.688960,J034526.15+240206.0,56.3589876,+24.0350094,0.0327,0.0310,13.8,7.397,7.415,6.790,4.786,7.563,7.497,7.459,0.035,0.020,0.017,0.034,0.030,0.033,0.020,561124201351013657,d000,1,0000,AAAA,54,41,13,38,0.545,56.3588333,24.0351389,HD 23361,,03 45 26.12,+24 02 06.5,A3V,7480,1.5,230,3.7,100,19.59,21.53,117.76,a,Y,TYC,WISEA,Simbad
0.044160,J034531.07+420024.6,56.3794945,+42.0068449,0.0337,0.0324,11.9,6.926,6.950,6.832,5.780,6.885,6.934,6.923,0.066,0.019,0.016,0.044,0.020,0.033,0.018,566142401351014760,0000,0,0000,AAAA,-99,36,-86,34,0.501,56.3795,42.0068333,HD 23267,,03 45 31.08,+42 00 24.6,:A0,9490,2.08,140,22.2,,,0.94,140.84,,Y,TYC,WISEA,Simbad
0.073673,J034559.15+252354.4,56.4964772,+25.3984556,0.0329,0.0300,2.6,7.503,7.521,7.362,6.324,7.605,7.588,7.538,0.031,0.019,0.017,0.069,0.021,0.053,0.017,566125701351013878,0000,0,1000,AAAA,-47,41,-105,35,0.603,56.4964583,25.3984444,HD 23430,,03 45 59.15,+25 23 54.4,:A5,7680,1.53,220,4.3,105,19.12,4.33,125.0,,Y,TYC,WISEA,Simbad
0.016996,J034638.78+245734.2,56.6616210,+24.9595030,0.0375,0.0335,18.6,8.707,8.729,8.637,8.321,9.105,8.851,8.763,0.023,0.020,0.032,0.329,0.018,0.015,0.015,561124201351033015,0000,0,110n,AAAB,52,39,-19,36,0.467,56.661625,24.9595,HD 282954,,03 46 38.79,+24 57 34.2,G0V,5920,0.42,100,3.4,,,2.19,54.09,a,Y,TYC,WISEA,Simbad
0.041559,J034704.22+235942.3,56.7676191,+23.9950935,0.0360,0.0335,20.6,7.601,7.626,7.601,7.217,7.770,7.658,7.642,0.031,0.021,0.022,0.142,0.018,0.051,0.023,561124201351014698,0000,0,1100,AAAB,-16,45,53,38,0.362,56.767625,23.9950833,V1210 Tau,,03 47 04.23,+23 59 42.3,F0V,7150,1.21,300,1.6,85,20.0,1.19,100.0,a,Y,TYC,WISEA,Simbad
0.057979,J034720.98+234811.6,56.8374324,+23.8032295,0.0350,0.0339,132.4,6.907,6.905,6.917,6.536,6.848,6.920,6.895,0.061,0.021,0.016,0.066,0.020,0.020,0.018,561124201351014697,0000,0,0011,AAAA,-54,38,-15,36,0.566,56.8374167,23.8032222,HD 23632,,03 47 20.98,+23 48 11.6,A1V,8800,1.73,120,21.7,65,74.16,0.9,112.36,,Y,TYC,WISEA,Simbad
0.097497,J034729.46+241717.5,56.8727745,+24.2882165,0.0355,0.0334,11.2,6.644,6.595,6.646,6.352,6.635,6.641,6.607,0.072,0.023,0.017,0.090,0.023,0.026,0.024,561124201351015784,0000,0,0110,AAAA,-103,38,-78,35,0.455,56.8727917,24.2881944,V1229 Tau,,03 47 29.47,+24 17 17.5,A0V,8510,1.89,80,49.8,,,0.19,106.15,,Y,TYC,WISEA,Simbad
0.024088,J034811.63-744138.5,57.0484732,-74.6940332,0.0352,0.0343,109.3,6.140,6.030,6.139,5.563,6.367,6.224,6.136,0.104,0.035,0.015,0.031,0.021,0.046,0.018,582074301351007443,h000,0,1100,AAAA,-49,26,260,26,0.657,57.0484583,-74.6940278,HD 24636,,03 48 11.63,-74 41 38.5,F3IV/V,6630,1.34,120,9.5,,,1.36,54.05,,Y,TYC,WISEA,Simbad
0.051531,J034912.20+235312.0,57.3008466,+23.8866743,0.0335,0.0314,165.7,7.570,7.592,7.571,7.240,7.673,7.599,7.576,0.032,0.020,0.018,0.110,0.023,0.031,0.018,577124201351013600,0000,0,1100,AAAB,-20,36,-19,34,0.607,57.3008333,23.8866667,HD 23863,,03 49 12.20,+23 53 12.0,A7V,7610,1.2,170,5.6,,,0.31,100.0,a,Y,TYC,WISEA,Simbad
0.070578,J035343.41+575829.6,58.4309055,+57.9749076,0.0448,0.0427,107.8,5.390,5.191,5.380,5.064,5.445,5.412,5.372,0.177,0.071,0.015,0.031,0.019,0.020,0.016,581157501351045767,0000,0,1400,BAAA,214,40,-242,37,1.347,58.4309167,57.9748889,HD 24141,,03 53 43.42,+57 58 29.6,:A4,7830,1.65,150,10.5,,,0.34,50.5,,Y,TYC,WISEA,Simbad
0.091092,J035629.40-385743.7,59.1225156,-38.9621611,0.0316,0.0304,29.7,6.851,6.868,6.705,5.118,6.849,6.869,6.861,0.063,0.020,0.015,0.025,0.018,0.031,0.020,600039401351039580,0000,0,3311,AAAA,-23,23,50,23,0.208,59.1225,-38.9621389,HD 24966,,03 56 29.40,-38 57 43.7,A0V,9140,1.62,170,10.9,80,49.44,6.07,105.81,,Y,TYC,WISEA,Simbad
0.054033,J035701.73+060223.2,59.2572490,+6.0397928,0.0385,0.0372,155.8,5.980,5.861,5.903,5.486,5.966,5.974,5.925,0.107,0.048,0.015,0.038,0.019,0.029,0.017,592106001351028206,0000,0,1100,AAAA,134,44,143,41,0.743,59.25725,6.0397778,HD 24817,,03 57 01.74,+06 02 23.2,A0V,8690,1.69,250,4.7,,,0.48,70.22,,Y,TYC,WISEA,Simbad
0.100719,J040236.87-001610.8,60.6536444,-0.2696868,0.0808,0.0633,162.2,4.146,3.926,4.289,3.882,,,,0.232,0.191,0.028,0.022,,,,605100001351015926,HHH0,0,nnn1,BBAA,1288,78,-687,96,,60.653625,-0.2696667,HD 25457,,04 02 36.87,-00 16 10.8,F6V,6430,1.12,180,3.3,60,30.16,2.32,18.83,,Y,TYC,WISEA,Simbad
2.239578,J040356.74+081150.6,60.9864453,+8.1973917,0.0518,0.0448,105.5,4.529,4.269,4.530,4.442,4.809,4.576,4.512,0.221,0.133,0.015,0.027,0.192,0.033,0.017,610107501351054045,0000,1,0210,BBAA,1691,58,682,63,2.273,60.9858333,8.19725,HR 1254,,04 03 56.60,+08 11 50.1,F2V,6780,1.79,200,4.8,50,76.98,0.89,34.85,,Y,TYC,WISEA,Simbad
0.112024,J040540.58+224811.8,61.4190934,+22.8033036,0.0333,0.0311,13.4,7.683,7.708,7.682,7.183,8.125,7.825,7.763,0.028,0.019,0.020,0.130,0.026,0.016,0.020,619122701351030499,0000,0,0111,AAAB,-78,38,26,37,0.282,61.4190833,22.8033333,V1299 Tau,,04 05 40.58,+22 48 12.0,G3V,5890,0.96,250,1.2,,,1.43,79.46,a,Y,TYC,WISEA,Simbad
0.021549,J040836.76+380221.0,62.1532069,+38.0391726,0.0550,0.0473,106.2,4.295,4.009,4.324,4.184,4.794,4.512,4.284,0.270,0.145,0.015,0.030,0.266,0.036,0.020,625137801351037140,0000,0,0100,BBAA,742,66,500,73,2.806,62.1532083,38.0391667,50 Per,,04 08 36.77,+38 02 21.0,F7V,6360,1.2,270,1.5,40,70.69,1.15,20.99,,Y,TYC,WISEA,Simbad
0.110846,J041212.15+302500.2,63.0506392,+30.4167418,0.0340,0.0336,170.2,7.500,7.510,7.346,6.612,7.934,7.623,7.523,0.034,0.021,0.018,0.083,0.026,0.036,0.031,626130201351026561,0000,0,0000,AAAA,-12,42,54,40,0.378,63.0506667,30.4167222,HD 281683,,04 12 12.16,+30 25 00.2,:G5,5670,0.88,220,1.3,,,4.52,63.5,a,N,TYC,WISEA,Simbad
0.087205,J041601.72-512909.8,64.0071807,-51.4860782,0.0416,0.0347,79.1,3.487,3.188,3.497,3.399,3.683,3.469,3.514,0.469,0.296,0.010,0.022,0.252,0.208,0.224,643051501351033369,hhpp,0,0041,CBAA,232,24,510,25,2.445,64.0071667,-51.4860556,gam Dor,,04 16 01.72,-51 29 09.8,F1V,7000,1.7,65,46.0,,,0.22,20.46,,Y,TYC,WISEA,Simbad
0.478206,J041715.65+203442.4,64.3152419,+20.5784507,0.0516,0.0476,116.3,4.365,4.081,4.417,4.314,4.786,4.577,4.362,0.250,0.104,0.014,0.028,0.272,0.256,0.020,645121201351007291,0000,1,0100,BAAA,564,61,1125,64,0.903,64.31525,20.5785833,HD 27045,,04 17 15.66,+20 34 42.9,:A4,7770,1.42,110,16.5,,,0.18,28.94,,Y,TYC,WISEA,Simbad
0.200146,J041808.12+420827.8,64.5338560,+42.1410605,0.0352,0.0332,4.0,6.343,6.333,6.395,5.689,6.255,6.339,6.348,0.082,0.024,0.017,0.046,0.023,0.044,0.021,647142401351017910,0000,0,01n0,AAAA,-75,38,25,34,0.380,64.5339167,42.1410278,HD 27026,,04 18 08.14,+42 08 27.7,B9V,10570,2.21,65,136.3,,,3.51,121.35,,N,TYC,WISEA,Simbad
0.497273,J042235.56+253803.0,65.6481816,+25.6341936,0.0395,0.0380,115.7,6.934,6.856,6.882,6.718,7.224,6.944,6.845,0.038,0.023,0.020,0.115,0.024,0.029,0.021,650125701351023614,dd00,0,30nn,AAAB,-62,60,274,60,0.193,65.6480417,25.63425,chi Tau,,04 22 35.53,+25 38 03.3,B9V,6130,1.61,200,3.5,35,114.99,4.29,89.28,,Y,TYC,WISEA,Simbad
0.061196,J042850.25+130251.0,67.2094003,+13.0475058,0.0506,0.0467,117.0,4.555,4.317,4.560,4.296,4.793,4.656,4.534,0.209,0.145,0.014,0.027,0.198,0.204,0.033,667113601351000002,0000,0,0100,BBAA,1332,65,-677,67,1.633,67.2094167,13.0475,b Tau,,04 28 50.26,+13 02 51.0,F0V,7810,2.29,200,8.1,70,66.38,0.95,48.85,,Y,TYC,WISEA,Simbad
1.619222,J043020.17+280755.3,67.5840629,+28.1320419,0.0538,0.0488,97.6,4.815,4.614,4.788,4.717,5.182,5.043,4.768,0.205,0.117,0.015,0.041,0.037,0.222,0.018,668128701351000001,0000,0,11nn,BBAA,241,80,496,84,1.961,67.5835833,28.1318889,HD 28447,,04 30 20.06,+28 07 54.8,:G4,5740,1.83,300,1.5,30,156.005,15.57,38.56,,Y,TYC,WISEA,Simbad
0.365236,J043649.15+241258.7,69.2048177,+24.2163147,0.0323,0.0301,14.2,8.240,8.232,8.104,6.634,8.701,8.436,8.335,0.022,0.017,0.019,0.074,0.023,0.018,0.019,693124201351026360,0000,0,nnnn,AAAA,136,35,28,34,0.436,69.2047083,24.2163333,HD 283759,,04 36 49.13,+24 12 58.8,:G7,5560,0.84,70,12.4,,,99.36,150.0,a,N,TYC,WISEA,Simbad
0.768531,J043736.16-022825.1,69.4007041,-2.4736665,0.0627,0.0529,149.5,4.543,4.310,4.575,4.390,4.744,4.770,4.537,0.210,0.117,0.018,0.023,0.037,0.076,0.024,695003101351054729,hh00,0,0110,BBAA,266,68,463,70,0.687,69.4005417,-2.4735278,51 Eri,,04 37 36.13,-02 28 24.7,F0IV,7400,1.4,300,1.9,45,88.35,0.65,29.42,,N,TYC,WISEA,Simbad
0.070637,J044115.76-351358.1,70.3156791,-35.2328224,0.0340,0.0324,12.7,8.144,8.182,7.905,7.081,8.641,8.279,8.188,0.023,0.021,0.019,0.082,0.019,0.020,0.020,694034901351023075,0000,0,0000,AAAA,26,33,10,32,0.374,70.3156667,-35.2328056,CPD-35 525,,04 41 15.76,-35 13 58.1,:G7,5550,0.83,250,0.9,,,7.45,80.46,a,N,TYC,WISEA,Simbad
0.080993,J044317.23-233742.0,70.8218265,-23.6283549,0.0390,0.0372,38.5,5.991,5.935,6.025,5.920,6.288,6.068,6.023,0.138,0.041,0.015,0.045,0.020,0.034,0.023,710024301351061295,0000,0,0210,BAAA,-183,36,-66,35,0.466,70.8218333,-23.6283333,HD 30051,,04 43 17.24,-23 37 42.0,F2/3IV/V,6500,1.68,55,54.7,,,0.32,63.57,,N,TYC,WISEA,Simbad
0.056187,J044625.74-280514.5,71.6072637,-28.0873710,0.0396,0.0382,40.8,5.783,5.605,5.730,5.456,5.801,5.730,5.715,0.105,0.049,0.015,0.040,0.023,0.038,0.017,720028801351061505,0000,0,3300,AAAA,-243,36,182,34,0.316,71.60725,-28.0873611,EX Eri,,04 46 25.74,-28 05 14.5,A3V,7760,1.57,200,5.5,65,52.36,0.89,56.17,,Y,TYC,WISEA,Simbad
0.091192,J044649.55-261808.8,71.7064691,-26.3024678,0.0344,0.0335,174.2,6.872,6.867,6.867,6.000,7.099,6.951,6.894,0.063,0.021,0.016,0.049,0.018,0.031,0.021,716025801351005234,0000,0,1100,AAAA,20,32,-54,31,0.653,71.7064583,-26.3024444,HD 3044,b,04 46 49.55,-26 18 08.8,F3V,6670,1.41,300,1.6,70,29.86,11.13,80.25,,Y,TYC,WISEA,Simbad
0.054640,J044736.40-165602.0,71.9016778,-16.9338997,0.0519,0.0470,109.9,3.994,3.724,3.997,3.908,4.466,4.116,3.999,0.260,0.140,0.015,0.021,0.254,0.236,0.036,723016701351015116,0000,1,0010,BBAA,1209,55,702,58,2.688,71.9016667,-16.9338889,58 Eri,,04 47 36.40,-16 56 02.0,G1.5V,5920,0.91,90,9.2,,,0.51,13.27,,Y,TYC,WISEA,Simbad
0.026545,J044805.37-804644.8,72.0223912,-80.7791180,0.0326,0.0316,159.1,6.818,6.818,6.823,6.550,7.170,6.991,6.868,0.069,0.021,0.015,0.053,0.021,0.026,0.029,753080301351009975,0000,0,0011,AAAA,-26,27,24,26,0.641,72.022375,-80.7791111,HD 32195,,04 48 05.37,-80 46 44.8,F7V,6180,1.12,300,1.1,65,23.56,2.16,61.01,,Y,TYC,WISEA,Simbad
0.050774,J045013.22+034100.3,72.5550933,+3.6834267,0.0338,0.0319,27.6,6.921,6.917,6.869,6.267,7.043,7.014,6.930,0.058,0.020,0.016,0.058,0.018,0.026,0.024,726103001351054446,0000,0,0000,AAAA,-42,36,50,35,0.463,72.5550833,3.6834167,TYC88-1288-1,,04 50 13.22,+03 41 00.3,:A6,7470,1.5,170,6.7,30,216.954,21.12,93.15,a,N,TYC,WISEA,Simbad
2.139521,J045404.30-352414.4,73.5179369,-35.4040006,0.0393,0.0385,37.8,5.791,5.683,5.770,5.681,6.249,5.887,5.770,0.124,0.049,0.015,0.039,0.030,0.042,0.021,730034901351002715,0000,1,0200,BAAA,-106,37,579,36,2.439,73.5175417,-35.4045,HD 31392,,04 54 04.21,-35 24 16.2,G9V,5560,0.77,300,0.6,40,34.96,4.11,25.16,,Y,TYC,WISEA,Simbad
0.038413,J045453.76+100901.6,73.7240359,+10.1504534,0.0497,0.0442,99.6,4.414,4.166,4.432,4.058,4.846,4.517,4.416,0.225,0.118,0.014,0.026,0.246,0.047,0.047,738110601351016766,0000,0,1100,BBAA,886,57,-351,62,1.581,73.7240417,10.1504444,HD 31295,,04 54 53.77,+10 09 01.6,A3V,8630,1.66,200,7.2,60,80.08,1.39,35.66,,Y,TYC,WISEA,Simbad
0.054438,J050227.43+072739.4,75.6143255,+7.4609574,0.0365,0.0324,124.8,7.595,7.629,6.924,3.952,7.687,7.624,7.594,0.030,0.022,0.017,0.026,0.024,0.051,0.018,762107501351035614,hh00,0,0011,AAAA,-63,37,85,35,0.289,75.6143333,7.4609444,HD 32297,b,05 02 27.44,+07 27 39.4,A0V,7610,1.33,130,10.6,70,36.8,98.71,112.36,,Y,TYC,WISEA,Simbad
0.295488,J050244.29+604301.5,75.6845822,+60.7170852,0.0329,0.0311,174.6,7.824,7.832,7.648,6.989,8.282,8.010,7.910,0.026,0.020,0.018,0.104,0.019,0.042,0.024,750160501351027518,hh00,0,2110,AAAA,12,35,54,33,0.299,75.68475,60.7170833,TYC4079-687-1,,05 02 44.34,+60 43 01.5,:K4,4910,0.7,260,0.5,,,7.19,53.93,a,N,TYC,WISEA,Simbad
0.887394,J050305.80+213523.5,75.7742082,+21.5898621,0.0551,0.0501,102.2,4.228,3.858,4.254,4.057,4.333,4.375,4.245,0.244,0.112,0.017,0.025,0.320,0.208,0.021,758121201351038286,0000,0,0000,BBAA,446,61,144,66,1.019,75.7739583,21.5899444,iot Tau,,05 03 05.75,+21 35 23.8,A7V,7960,2.89,160,16.6,,,0.3,52.96,,Y,TYC,WISEA,Simbad
0.073829,J050451.51-081742.3,76.2146451,-8.2951063,0.0370,0.0343,172.7,7.435,7.482,7.374,6.671,7.785,7.539,7.476,0.033,0.021,0.026,0.134,0.024,0.047,0.031,762007601351005203,0000,0,1100,AAAB,-52,54,12,52,0.524,76.214625,-8.2951111,TYC5323-272-1,,05 04 51.51,-08 17 42.4,:F7,6300,1.18,220,2.2,50,43.62,53.83,86.47,a,N,TYC,WISEA,Simbad
0.033228,J050530.62-572820.4,76.3776213,-57.4723423,0.0451,0.0391,121.0,3.425,3.128,3.424,3.336,3.701,3.407,3.371,0.488,0.396,0.011,0.019,0.248,0.202,0.234,775057601351035449,HHH0,1,nnn0,CCAA,434,27,924,28,1.415,76.377625,-57.4723333,zet Dor,,05 05 30.63,-57 28 20.4,F9V,6170,1.05,130,5.5,,,0.15,11.64,,Y,TYC,WISEA,Simbad
0.029403,J050708.67-171801.2,76.7861297,-17.3003401,0.0382,0.0369,128.3,5.868,5.780,5.867,5.727,6.128,5.928,5.850,0.117,0.046,0.015,0.040,0.019,0.031,0.018,770016701351007635,0000,0,0000,BAAA,1,38,156,36,1.618,76.786125,-17.3003333,HD 33081,,05 07 08.67,-17 18 01.2,F7V,6330,1.46,250,2.1,45,67.29,0.92,50.6,,Y,TYC,WISEA,Simbad
0.062885,J050748.35+202505.7,76.9514958,+20.4182670,0.0495,0.0466,119.1,5.053,4.913,5.064,4.695,5.107,5.075,5.047,0.207,0.089,0.015,0.031,0.037,0.026,0.016,768119601351051359,0000,0,0200,BAAA,-490,56,-139,55,0.816,76.9515,20.41825,l Tau,,05 07 48.36,+20 25 05.7,A5IV,8370,2.12,140,17.7,,,0.3,58.1,,Y,TYC,WISEA,Simbad
0.031500,J051146.54+042410.9,77.9439250,+4.4030306,0.0406,0.0392,58.3,5.627,5.431,5.579,5.495,5.931,5.633,5.572,0.119,0.058,0.015,0.040,0.020,0.023,0.018,774104501351025950,0000,1,1311,BAAA,-11,43,-186,41,2.243,77.9439167,4.4030278,HD 33636,,05 11 46.54,+04 24 10.9,G0V,5940,0.95,250,1.2,55,25.94,0.97,28.36,,Y,TYC,WISEA,Simbad
0.053846,J051543.88-225339.6,78.9328593,-22.8943371,0.0340,0.0317,7.5,6.408,6.371,6.357,5.589,6.495,6.435,6.427,0.081,0.023,0.017,0.048,0.027,0.036,0.026,781022801351024189,0000,0,2200,AAAA,-65,34,-61,32,0.058,78.932875,-22.8943333,HD 34324,,05 15 43.89,-22 53 39.6,A3V,8040,1.48,190,6.1,55,73.85,3.33,74.57,,Y,TYC,WISEA,Simbad
0.076666,J052038.08-394517.6,80.1586680,-39.7549102,0.0365,0.0348,14.3,6.169,6.051,6.109,5.857,6.416,6.218,6.144,0.097,0.035,0.015,0.036,0.023,0.034,0.024,793039401351023695,0000,0,3300,AAAA,7,33,54,32,0.584,80.1586667,-39.7548889,AS Col,,05 20 38.08,-39 45 17.6,F6V,6250,1.22,110,9.2,,,0.65,48.3,,Y,TYC,WISEA,Simbad
0.019463,J052327.86+573239.2,80.8661228,+57.5442275,0.0469,0.0444,76.5,5.154,5.006,5.154,4.925,5.659,5.157,5.158,0.163,0.068,0.015,0.038,0.298,0.042,0.018,803157501351027293,0000,0,0211,BAAA,95,53,-180,53,0.688,80.866125,57.5442222,16 Cam,,05 23 27.87,+57 32 39.2,A0Vne,9460,3.16,500,2.6,50,263.14,2.55,103.09,,Y,TYC,WISEA,Simbad
0.035380,J052343.35-681016.4,80.9306414,-68.1712423,0.0350,0.0330,101.5,8.674,8.718,8.472,7.710,9.369,8.858,8.750,0.023,0.020,0.024,0.101,0.023,0.025,0.021,791068201351027695,000d,1,330n,AAAA,-4,24,-56,24,0.718,80.930625,-68.17125,TYC9162-586-1,,05 23 43.35,-68 10 16.5,:K4,4850,0.69,230,0.7,,,7.77,76.88,a,N,TYC,WISEA,Simbad
0.018274,J052636.59-222923.8,81.6524961,-22.4899480,0.0332,0.0317,0.1,7.719,7.765,7.731,6.598,8.038,7.842,7.826,0.027,0.021,0.019,0.075,0.021,0.034,0.051,814022801351047840,ddd0,0,1000,AAAA,66,35,16,36,0.161,81.6525,-22.4899444,HD 35841,b,05 26 36.60,-22 29 23.8,F3V,6470,1.22,70,24.3,,,17.07,104.0,a,Y,TYC,WISEA,Simbad
0.063869,J052704.76-115403.8,81.7698714,-11.9010730,0.0536,0.0479,106.5,4.915,4.783,4.904,4.803,5.268,5.087,4.926,0.179,0.060,0.015,0.029,0.027,0.026,0.021,818012201351039999,0000,1,1200,BAAA,-264,57,492,60,0.533,81.769875,-11.9010556,AF Lep,,05 27 04.77,-11 54 03.8,F8V,6130,1.18,300,1.1,75,18.45,1.5,27.04,,Y,TYC,WISEA,Simbad
0.060710,J053305.57-014315.4,83.2732477,-1.7209555,0.0337,0.0323,13.0,8.430,8.455,8.037,6.056,8.520,8.501,8.471,0.023,0.021,0.020,0.048,0.024,0.036,0.023,831001601351010975,hh00,1,0000,AAAA,-70,38,-1,35,0.067,83.27325,-1.7209722,HD 290609,,05 33 05.58,-01 43 15.5,:A0,9550,0.16,400,0.2,115,2.72,7.74,23.85,,Y,TYC,WISEA,Simbad
0.073634,J053324.06-392704.4,83.3502660,-39.4512385,0.0324,0.0306,171.4,8.074,8.104,8.065,7.343,8.280,8.147,8.112,0.023,0.019,0.019,0.100,0.021,0.026,0.020,832039401351030834,0000,0,0000,AAAA,-5,31,27,30,0.260,83.35025,-39.4512222,HD 36968,,05 33 24.06,-39 27 04.4,F2V,6880,1.44,200,3.9,55,52.63,17.77,145.92,a,Y,TYC,WISEA,Simbad
